,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
1,2006,24,NWE,,16.0,6,0,,5,8,62.5,32,0,0.0,0,0.0,10,4.0,4.0,6.4,5.3,70.8,3,15,27.3,1.55,1.55,,,0,27,3.0,,8.5
2,2007,25,NWE,,16.0,6,0,,4,7,57.1,38,0,0.0,1,14.3,21,5.4,-1.0,9.5,6.3,32.7,0,0,0.0,5.43,-1.0,,,0,27,2.0,,99.1
3,2008,26,NWE,QB,16.0,16,15,10-5-0,327,516,63.4,3693,21,4.1,11,2.1,76,7.2,7.0,11.3,230.8,89.4,47,219,8.3,6.17,6.04,2.0,2.0,17,27,181.0,,63.4
4,2009,27,KAN,QB,7.0,15,15,4-11-0,271,493,55.0,2924,16,3.2,16,3.2,61,5.9,5.1,10.8,194.9,69.9,42,243,7.9,5.01,4.26,1.0,2.0,7,27,129.0,,29.7
5,2010*,28,KAN,QB,7.0,15,15,10-5-0,262,450,58.2,3116,27,6.0,7,1.6,75,6.9,7.4,11.9,207.7,93.0,26,182,5.5,6.16,6.64,1.0,2.0,13,27,164.0,"AP CPoY-4, PB",55.8
6,2011,29,KAN,QB,7.0,9,9,4-5-0,160,269,59.5,1713,10,3.7,9,3.3,52,6.4,5.6,10.7,190.3,76.6,22,120,7.6,5.47,4.77,1.0,2.0,3,27,84.0,,48.4
7,2012,30,KAN,QB,7.0,9,8,1-7-0,161,277,58.1,1796,6,2.2,12,4.3,46,6.5,5.0,11.2,199.6,66.7,19,101,6.4,5.73,4.31,1.0,1.0,2,27,97.0,,26.3
8,2013,31,MIN,qb,16.0,9,6,3-3-0,153,254,60.2,1807,11,4.3,9,3.5,79,7.1,6.4,11.8,200.8,81.6,16,85,5.9,6.38,5.69,2.0,2.0,6,27,83.0,,52.3
9,2014,32,MIN,,16.0,3,3,1-2-0,41,71,57.7,425,3,4.2,4,5.6,28,6.0,4.3,10.4,141.7,65.8,6,39,7.8,5.01,3.45,,,1,27,21.0,,47.4
10,2015,33,2TM,,,9,8,2-6-0,119,204,58.3,1276,5,2.5,7,3.4,51,6.3,5.2,10.7,141.8,70.6,14,86,6.4,5.46,4.47,1.0,1.0,0,27,,,
11,,,BUF,,16.0,1,1,1-0-0,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,27,,,
12,,,DAL,QB,16.0,8,7,1-6-0,119,204,58.3,1276,5,2.5,7,3.4,51,6.3,5.2,10.7,159.5,70.6,14,86,6.4,5.46,4.47,1.0,1.0,0,27,54.0,,
13,2016,34,TEN,,16.0,4,1,1-0-0,30,51,58.8,284,2,3.9,2,3.9,50,5.6,4.6,9.5,71.0,71.0,5,23,8.9,4.66,3.77,,,1,27,16.0,,66.6
14,2017,35,TEN,,16.0,2,1,0-1-0,25,42,59.5,162,1,2.4,2,4.8,17,3.9,2.2,6.5,81.0,55.9,8,30,16.0,2.64,1.24,,,0,27,10.0,,13.7
