,Year,Age,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,player_id,1D,Awards,QBR
1,Career,Career,,,,3,2,0-2-0,61,104,58.7,779,4,3.8,6,5.8,36,7.5,5.7,12.8,259.7,71.0,5,23,4.6,6.94,5.19,,,2,663,40,,
0,2020,24,DEN,,4.0,3,1,1-0-0,27,40,67.5,295,2,5.0,4,10.0,48,7.4,3.9,10.9,98.3,66.1,1,0,2.4,7.2,3.78,1.0,1.0,1,664,12.0,,50.3
1,2021,25,DEN,,4.0,1,0,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,664,,,1.1
2,Career,Career,,,,4,1,1-0-0,27,42,64.3,295,2,4.8,4,9.5,48,7.0,3.7,10.9,73.8,61.2,1,0,2.3,6.86,3.6,1.0,1.0,1,664,12.0,,
0,1987,27,RAM,,9.0,1,0.0,,1,3,33.3,40,1,33.3,1,33.3,40,13.3,5.0,40.0,40.0,81.9,0,0,0,13.33,5.0,,,0,665,,,
1,Career,Career,,,,1,,,1,3,33.3,40,1,33.3,1,33.3,40,13.3,5.0,40.0,40.0,81.9,0,0,0,13.33,5.0,,,0,665,,,
0,2014,22,JAX,QB,5.0,14,13,3-10-0,280,475,58.9,2908,11,2.3,17,3.6,63,6.1,5.0,10.4,207.7,69.5,55,345,10.4,4.84,3.81,1.0,1.0,5,667,136.0,,26.7
1,2015,23,JAX,QB,5.0,16,16,5-11-0,355,606,58.6,4428,35,5.8,18,3.0,90,7.3,7.1,12.5,276.8,88.2,51,320,7.8,6.25,6.09,3.0,4.0,14,667,220.0,,51.4
2,2016,24,JAX,QB,5.0,16,16,3-13-0,368,625,58.9,3905,23,3.7,16,2.6,51,6.2,5.8,10.6,244.1,78.8,34,197,5.2,5.63,5.23,1.0,1.0,10,667,207.0,,43.0
3,2017,25,JAX,QB,5.0,16,16,10-6-0,315,523,60.2,3687,21,4.0,13,2.5,75,7.0,6.7,11.7,230.4,84.7,24,123,4.4,6.52,6.21,1.0,1.0,13,667,195.0,,59.2
4,2018,26,JAX,QB,5.0,13,12,3-9-0,243,403,60.3,2718,13,3.2,11,2.7,80,6.7,6.2,11.2,209.1,79.8,31,173,7.1,5.86,5.32,0.0,1.0,6,667,126.0,,43.4
5,2019,27,LAR,,5.0,3,0,,1,2,50.0,3,0,0.0,0,0.0,3,1.5,1.5,3.0,1.0,56.2,0,0,0.0,1.5,1.5,,,0,667,,,0.1
6,Career,Career,,,,78,73,24-49-0,1562,2634,59.3,17649,103,3.9,75,2.8,90,6.7,6.2,11.3,226.3,80.6,195,1158,6.9,5.83,5.36,6.0,8.0,48,667,884.0,,
7,5 yrs,5 yrs,JAX,,,75,73,24-49-0,1561,2632,59.3,17646,103,3.9,75,2.8,90,6.7,6.2,11.3,235.3,80.6,195,1158,6.9,5.83,5.37,6.0,8.0,48,667,884.0,,
8,1 yr,1 yr,LAR,,,3,0,,1,2,50.0,3,0,0.0,0,0.0,3,1.5,1.5,3.0,1.0,56.2,0,0,0.0,1.5,1.5,,,0,667,0.0,,
0,1999,22,MIN,,12.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,668,0,,
1,2000*,23,MIN,QB,11.0,16,16,11-5-0,297,474,62.7,3937,33,7.0,16,3.4,78,8.3,8.2,13.3,246.1,98.0,34,181,6.7,7.39,7.28,3.0,4.0,20,668,188,PB,
2,2001,24,MIN,QB,11.0,11,11,4-7-0,235,366,64.2,2612,14,3.8,13,3.6,57,7.1,6.3,11.1,237.5,83.3,33,186,8.3,6.08,5.32,2.0,2.0,11,668,127,,
3,2002,25,MIN,QB,11.0,16,16,6-10-0,333,549,60.7,3853,18,3.3,23,4.2,61,7.0,5.8,11.6,240.8,75.3,47,244,7.9,6.06,4.92,3.0,4.0,16,668,189,,
4,2003*,26,MIN,QB,11.0,14,14,7-7-0,295,454,65.0,3479,25,5.5,11,2.4,59,7.7,7.7,11.8,248.5,96.4,37,196,7.5,6.69,6.7,0.0,1.0,17,668,171,"AP CPoY-8, PB",
5,2004*,27,MIN,QB,11.0,16,16,8-8-0,379,548,69.2,4717,39,7.1,11,2.0,82,8.6,9.1,12.4,294.8,110.9,46,238,7.7,7.54,8.02,1.0,3.0,20,668,224,"AP OPoY-2, PB",
6,2005,28,MIN,qb,11.0,7,7,2-5-0,139,216,64.4,1564,6,2.8,12,5.6,68,7.2,5.3,11.3,223.4,72.0,31,169,12.6,5.65,3.95,1.0,1.0,5,668,80,,
7,2006,29,MIA,,8.0,4,4,1-3-0,81,134,60.4,929,2,1.5,3,2.2,52,6.9,6.2,11.5,232.3,77.0,21,150,13.5,5.03,4.41,0.0,1.0,2,668,44,,18.3
8,2007,30,OAK,qb,8.0,7,6,2-4-0,108,186,58.1,1331,5,2.7,5,2.7,59,7.2,6.5,12.3,190.1,78.0,21,130,10.1,5.8,5.2,1.0,1.0,4,668,60,,49.4
9,2008,31,DET,qb,11.0,5,5,0-5-0,60,115,52.2,786,4,3.5,6,5.2,70,6.8,5.2,13.1,157.2,63.9,14,95,10.9,5.36,3.88,,,2,668,30,,26.7
10,2009,32,DET,qb,11.0,8,5,0-5-0,89,157,56.7,945,3,1.9,6,3.8,38,6.0,4.7,10.6,118.1,64.8,14,107,8.2,4.9,3.67,,,1,668,44,,35.9
11,Career,Career,,,,105,100,41-59-0,2016,3199,63.0,24153,149,4.7,106,3.3,82,7.6,7.0,12.0,230.0,87.8,298,1696,8.5,6.42,5.91,11.0,17.0,98,668,1157,,
12,7 yrs,7 yrs,MIN,,,81,80,38-42-0,1678,2607,64.4,20162,135,5.2,86,3.3,82,7.7,7.3,12.0,248.9,91.5,228,1214,8.0,6.68,6.27,10.0,15.0,89,668,979,,
13,2 yrs,2 yrs,DET,,,13,10,0-10-0,149,272,54.8,1731,7,2.6,12,4.4,70,6.4,4.9,11.6,133.2,64.4,28,202,9.3,5.1,3.76,,,3,668,74,,
14,1 yr,1 yr,MIA,,,4,4,1-3-0,81,134,60.4,929,2,1.5,3,2.2,52,6.9,6.2,11.5,232.3,77.0,21,150,13.5,5.03,4.41,0.0,1.0,2,668,44,,
15,1 yr,1 yr,OAK,,,7,6,2-4-0,108,186,58.1,1331,5,2.7,5,2.7,59,7.2,6.5,12.3,190.1,78.0,21,130,10.1,5.8,5.2,1.0,1.0,4,668,60,,
0,1987,22,STL,,10.0,2,1,0-1-0,11,20,55,183,1,5,2,10,38,9.2,5.7,16.6,91.5,63.1,1,13,4.8,8.1,4.76,,,1,669,,,
1,Career,Career,,,,2,1,0-1-0,11,20,55,183,1,5,2,10,38,9.2,5.7,16.6,91.5,63.1,1,13,4.8,8.1,4.76,,,1,669,,,
0,1973,22,STL,,12.0,14,2,1-1-0,32,73,43.8,369,1,1.4,5,6.8,80,5.1,2.2,11.5,26.4,35.7,5,41,6.4,4.21,1.58,,,3,670,,,
1,Career,Career,,,,14,2,1-1-0,32,73,43.8,369,1,1.4,5,6.8,80,5.1,2.2,11.5,26.4,35.7,5,41,6.4,4.21,1.58,,,3,670,,,
0,2008,24,CIN,,5.0,3,0.0,,7,12,58.3,41,0,0,2,16.7,13,3.4,-4.1,5.9,13.7,25.3,2,11,14.3,2.14,-4.29,,,0,671,4.0,,7.2
1,2010,26,CIN,,5.0,1,0.0,,3,3,100.0,18,0,0,0,0.0,7,6.0,6.0,6.0,18.0,91.7,2,20,40.0,-0.4,-0.4,,,0,671,1.0,,15.1
2,2014,30,TEN,,5.0,1,0.0,,1,3,33.3,7,0,0,0,0.0,7,2.3,2.3,7.0,7.0,42.4,0,0,0.0,2.33,2.33,,,0,671,,,2.5
3,Career,Career,,,,5,,,11,18,61.1,66,0,0,2,11.1,13,3.7,-1.3,6.0,13.2,28.7,4,31,18.2,1.59,-2.5,,,0,671,5.0,,
4,2 yrs,2 yrs,CIN,,,4,0.0,,10,15,66.7,59,0,0,2,13.3,13,3.9,-2.1,5.9,14.8,34.4,4,31,21.1,1.47,-3.26,,,0,671,5.0,,
5,1 yr,1 yr,TEN,,,1,0.0,,1,3,33.3,7,0,0,0,0.0,7,2.3,2.3,7.0,7.0,42.4,0,0,0.0,2.33,2.33,,,0,671,0.0,,
0,1968,23,GNB,,10.0,2,0.0,,0,2,0.0,0,0,0,0,0,0,0.0,0.0,,0.0,39.6,0,0,0,0.0,0.0,,,0,672,,,
1,1969,24,GNB,,10.0,1,0.0,,1,3,33.3,12,0,0,0,0,12,4.0,4.0,12.0,12.0,46.5,0,0,0,4.0,4.0,,,0,672,,,
2,Career,Career,,,,3,,,1,5,20.0,12,0,0,0,0,12,2.4,2.4,12.0,4.0,39.6,0,0,0,2.4,2.4,,,0,672,,,
0,2018,22,BUF,QB,17.0,12,11,5-6-0,169,320,52.8,2074,10,3.1,12,3.8,75,6.5,5.4,12.3,172.8,67.9,28,213,8.0,5.35,4.37,2.0,3.0,6,673,89,,49.8
1,2019,23,BUF,QB,17.0,16,16,10-6-0,271,461,58.8,3089,20,4.3,9,2.0,53,6.7,6.7,11.4,193.1,85.3,38,237,7.6,5.72,5.71,4.0,5.0,11,673,146,,49.4
2,2020*,24,BUF,QB,17.0,16,16,13-3-0,396,572,69.2,4544,37,6.5,10,1.7,55,7.9,8.5,11.5,284.0,107.2,26,159,4.3,7.33,7.82,2.0,3.0,18,673,228,"AP MVP-2, AP OPoY-4, AP2, PB",76.6
3,2021,25,BUF,QB,17.0,17,17,11-6-0,409,646,63.3,4407,36,5.6,15,2.3,61,6.8,6.9,10.8,259.2,92.2,26,164,3.9,6.31,6.38,,,19,673,234,,60.7
4,Career,Career,,,,61,60,39-21-0,1245,1999,62.3,14114,103,5.2,46,2.3,75,7.1,7.1,11.3,231.4,91.0,118,773,5.6,6.3,6.3,8.0,11.0,54,673,697,,
0,1992,22,NYJ,,9.0,3,0,,4,9,44.4,40,0,0.0,1,11.1,19,4.4,-0.6,10.0,13.3,18.1,2,7,18.2,3.0,-1.09,0.0,0.0,0,674,,,
1,1994,24,CIN,QB,8.0,10,9,3-6-0,156,306,51.0,2154,14,4.6,9,2.9,76,7.0,6.6,13.8,215.4,76.9,19,120,5.8,6.26,5.87,3.0,2.0,7,674,92.0,,
2,1995*,25,CIN,QB,8.0,16,16,7-9-0,326,567,57.5,3822,28,4.9,17,3.0,88,6.7,6.4,11.7,238.9,82.1,24,152,4.1,6.21,5.86,2.0,3.0,15,674,179.0,PB,
3,1996,26,CIN,QB,8.0,16,16,8-8-0,308,549,56.1,3624,24,4.4,14,2.6,61,6.6,6.3,11.8,226.5,80.3,44,278,7.4,5.64,5.39,3.0,5.0,15,674,184.0,,
4,1997,27,CIN,QB,8.0,11,11,3-8-0,184,317,58.0,2125,8,2.5,7,2.2,50,6.7,6.2,11.5,193.2,77.6,39,244,11.0,5.28,4.85,1.0,1.0,10,674,98.0,,
5,1998,28,CIN,,8.0,8,2,1-1-0,51,93,54.8,739,3,3.2,3,3.2,67,7.9,7.1,14.5,92.4,78.2,15,79,13.9,6.11,5.42,1.0,1.0,3,674,29.0,,
6,1999,29,CIN,QB,8.0,14,12,3-9-0,215,389,55.3,2670,16,4.1,12,3.1,76,6.9,6.3,12.4,190.7,77.6,30,168,7.2,5.97,5.45,,,10,674,125.0,,
7,2000,30,NOR,QB,18.0,11,11,7-4-0,184,302,60.9,2025,13,4.3,9,3.0,49,6.7,6.2,11.0,184.1,82.7,24,150,7.4,5.75,5.31,1.0,1.0,9,674,103.0,,
8,2001,31,NOR,,18.0,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,674,,,
9,2002,32,BAL,QB,11.0,11,10,4-6-0,165,295,55.9,2084,13,4.4,11,3.7,77,7.1,6.3,12.6,189.5,77.3,30,203,9.2,5.79,5.06,1.0,1.0,6,674,97.0,,
10,2003,33,ARI,QB,11.0,13,13,3-10-0,208,367,56.7,2247,13,3.5,15,4.1,71,6.1,5.0,10.8,172.8,69.6,19,132,4.9,5.48,4.4,0.0,2.0,6,674,95.0,,
11,2004,34,PHI,,11.0,3,0,,18,37,48.6,126,1,2.7,1,2.7,21,3.4,2.7,7.0,42.0,54.6,2,17,5.1,2.79,2.15,,,0,674,8.0,,
12,2005,35,CHI,,11.0,2,0,,8,9,88.9,55,1,11.1,0,0.0,17,6.1,8.3,6.9,27.5,129.2,0,0,0.0,6.11,8.33,,,0,674,4.0,,
13,Career,Career,,,,119,100,39-61-0,1827,3241,56.4,21711,134,4.1,99,3.1,88,6.7,6.2,11.9,182.4,78.0,248,1550,7.1,5.78,5.27,12.0,16.0,81,674,1014.0,,
14,6 yrs,6 yrs,CIN,,,75,66,25-41-0,1240,2221,55.8,15134,93,4.2,62,2.8,88,6.8,6.4,12.2,201.8,79.3,171,1041,7.1,5.89,5.5,10.0,12.0,60,674,707.0,,
15,2 yrs,2 yrs,NOR,,,12,11,7-4-0,184,303,60.7,2025,13,4.3,9,3.0,49,6.7,6.2,11.0,168.8,82.5,24,150,7.3,5.73,5.29,1.0,1.0,9,674,103.0,,
16,1 yr,1 yr,ARI,,,13,13,3-10-0,208,367,56.7,2247,13,3.5,15,4.1,71,6.1,5.0,10.8,172.8,69.6,19,132,4.9,5.48,4.4,0.0,2.0,6,674,95.0,,
17,1 yr,1 yr,BAL,,,11,10,4-6-0,165,295,55.9,2084,13,4.4,11,3.7,77,7.1,6.3,12.6,189.5,77.3,30,203,9.2,5.79,5.06,1.0,1.0,6,674,97.0,,
18,1 yr,1 yr,CHI,,,2,0,,8,9,88.9,55,1,11.1,0,0.0,17,6.1,8.3,6.9,27.5,129.2,0,0,0.0,6.11,8.33,,,0,674,4.0,,
19,1 yr,1 yr,NYJ,,,3,0,,4,9,44.4,40,0,0.0,1,11.1,19,4.4,-0.6,10.0,13.3,18.1,2,7,18.2,3.0,-1.09,0.0,0.0,0,674,0.0,,
20,1 yr,1 yr,PHI,,,3,0,,18,37,48.6,126,1,2.7,1,2.7,21,3.4,2.7,7.0,42.0,54.6,2,17,5.1,2.79,2.15,,,0,674,8.0,,
0,2012,23,ATL,,,1,0.0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,675,,,
1,2013,24,ATL,,4.0,1,0.0,,5,7,71.4,34,0,0.0,0,0.0,14,4.9,4.9,6.8,34.0,81.8,0,0,0.0,4.86,4.86,,,0,675,2.0,,68.1
2,Career,Career,,,,2,,,5,7,71.4,34,0,0.0,0,0.0,14,4.9,4.9,6.8,17.0,81.8,0,0,0.0,4.86,4.86,,,0,675,2.0,,
0,2002,24,JAX,,9.0,4,1,0-1-0,23,46,50.0,231,1,2.2,2,4.3,22,5.0,3.5,10.0,57.8,53.8,7,40,13.2,3.6,2.28,,,2,676,16,,
1,2003,25,JAX,,9.0,2,0,,9,12,75.0,86,1,8.3,0,0.0,28,7.2,8.8,9.6,43.0,122.2,0,0,0.0,7.17,8.83,,,0,676,5,,
2,2004,26,JAX,,9.0,4,2,1-1-0,38,72,52.8,374,2,2.8,1,1.4,36,5.2,5.1,9.8,93.5,71.2,6,35,7.7,4.35,4.28,0.0,1.0,1,676,21,,
3,2005,27,JAX,qb,9.0,7,5,4-1-0,98,168,58.3,1117,4,2.4,1,0.6,37,6.6,6.9,11.4,159.6,83.9,8,45,4.5,6.09,6.29,2.0,2.0,6,676,64,,
4,2006,28,JAX,QB,9.0,11,10,5-5-0,145,241,60.2,1735,10,4.1,9,3.7,49,7.2,6.3,12.0,157.7,80.5,20,119,7.7,6.19,5.41,,,9,676,83,,60.1
5,2007,29,JAX,QB,9.0,12,12,9-3-0,208,325,64.0,2509,18,5.5,3,0.9,59,7.7,8.4,12.1,209.1,102.2,21,99,6.1,6.97,7.62,1.0,2.0,13,676,127,,80.9
6,2008,30,JAX,QB,9.0,16,16,5-11-0,335,535,62.6,3620,15,2.8,13,2.4,41,6.8,6.2,10.8,226.3,81.7,42,288,7.3,5.77,5.28,3.0,3.0,13,676,181,,58.7
7,2009*,31,JAX,QB,9.0,16,16,7-9-0,314,516,60.9,3597,15,2.9,10,1.9,63,7.0,6.7,11.5,224.8,83.5,42,236,7.5,6.02,5.75,3.0,4.0,13,676,169,PB,54.4
8,2010,32,JAX,QB,9.0,14,14,8-6-0,236,366,64.5,2734,23,6.3,15,4.1,75,7.5,6.9,11.6,195.3,90.8,33,253,8.3,6.22,5.68,1.0,5.0,13,676,130,,63.1
9,Career,Career,,,,86,76,39-37-0,1406,2281,61.6,16003,89,3.9,54,2.4,75,7.0,6.7,11.4,186.1,85.8,179,1115,7.3,6.05,5.79,10.0,17.0,70,676,796,,
0,1987,25,NOR,,12.0,2,0.0,,1,2,50,5,1,50,0,0,5,2.5,12.5,5.0,2.5,95.8,1,6,33.3,-0.33,6.33,,,0,677,,,
1,Career,Career,,,,2,,,1,2,50,5,1,50,0,0,5,2.5,12.5,5.0,2.5,95.8,1,6,33.3,-0.33,6.33,,,0,677,,,
0,2019,23,JAX,QB,15.0,14,12,6-6-0,285,470,60.6,3271,21,4.5,6,1.3,70,7.0,7.3,11.5,233.6,91.2,33,184,6.6,6.14,6.44,3.0,3.0,10,678,150,,44.6
1,2020,24,JAX,QB,15.0,9,8,1-7-0,216,327,66.1,2259,16,4.9,5,1.5,51,6.9,7.2,10.5,251.0,95.9,27,147,7.6,5.97,6.23,1.0,1.0,7,678,117,,44.0
2,2021,25,PHI,qb,10.0,4,2,1-1-0,41,60,68.3,439,4,6.7,1,1.7,36,7.3,7.9,10.7,109.8,104.8,5,31,7.7,6.28,6.82,,,2,678,24,,60.6
3,Career,Career,,,,27,22,8-14-0,542,857,63.2,5969,41,4.8,12,1.4,70,7.0,7.3,11.0,221.1,93.9,65,362,7.0,6.08,6.39,4.0,4.0,19,678,291,,
4,2 yrs,2 yrs,JAX,,,23,20,7-13-0,501,797,62.9,5530,37,4.6,11,1.4,70,6.9,7.2,11.0,240.4,93.1,60,331,7.0,6.07,6.35,4.0,4.0,17,678,267,,
5,1 yr,1 yr,PHI,,,4,2,1-1-0,41,60,68.3,439,4,6.7,1,1.7,36,7.3,7.9,10.7,109.8,104.8,5,31,7.7,6.28,6.82,,,2,678,24,,
0,1974,23,NYG,,19.0,7,0.0,,6,13,46.2,59,0,0,3,23.1,26,4.5,-5.8,9.8,8.4,19.9,1,6,7.1,3.79,-5.86,,,0,679,,,
1,1975,24,NYG,,19.0,3,0.0,,7,16,43.8,98,0,0,2,12.5,41,6.1,0.5,14.0,32.7,24.5,2,24,11.1,4.11,-0.89,,,0,679,,,
2,Career,Career,,,,10,,,13,29,44.8,157,0,0,5,17.2,41,5.4,-2.3,12.1,15.7,22.4,3,30,9.4,3.97,-3.06,,,0,679,,,
0,2018,25,CIN,qb,6.0,9,5,1-4-0,105,176,59.7,1003,6,3.4,2,1.1,37,5.7,5.9,9.6,111.4,82.2,16,122,8.3,4.59,4.74,,,2,681,50.0,,29.7
1,2019,26,DET,/qb,2.0,3,3,0-3-0,62,105,59.0,685,4,3.8,4,3.8,47,6.5,5.6,11.0,228.3,75.3,11,46,9.5,5.51,4.65,,,3,681,31.0,,49.9
2,2020,27,DEN,,9.0,3,1,0-1-0,35,64,54.7,432,3,4.7,2,3.1,45,6.8,6.3,12.3,144.0,78.4,11,98,14.7,4.45,4.05,,,1,681,18.0,,36.1
3,2021,28,HOU,,6.0,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,681,,,
4,Career,Career,,,,16,9,1-8-0,202,345,58.6,2120,13,3.8,8,2.3,47,6.1,5.9,10.5,132.5,79.4,38,266,9.9,4.84,4.58,,,6,681,99.0,,
5,1 yr,1 yr,CIN,,,9,5,1-4-0,105,176,59.7,1003,6,3.4,2,1.1,37,5.7,5.9,9.6,111.4,82.2,16,122,8.3,4.59,4.74,,,2,681,50.0,,
6,1 yr,1 yr,DEN,,,3,1,0-1-0,35,64,54.7,432,3,4.7,2,3.1,45,6.8,6.3,12.3,144.0,78.4,11,98,14.7,4.45,4.05,,,1,681,18.0,,
7,1 yr,1 yr,DET,,,3,3,0-3-0,62,105,59.0,685,4,3.8,4,3.8,47,6.5,5.6,11.0,228.3,75.3,11,46,9.5,5.51,4.65,,,3,681,31.0,,
8,1 yr,1 yr,HOU,,,1,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,681,0.0,,
0,2004,23,CLE,,12.0,5,4,0-4-0,48,98,49.0,608,4,4.1,7,7.1,58,6.2,3.8,12.7,121.6,52.6,12,122,10.9,4.42,2.28,,,2,682,19.0,,
1,2007,26,TAM,,12.0,5,3,1-2-0,94,139,67.6,1009,5,3.6,3,2.2,60,7.3,7.0,10.7,201.8,91.7,15,104,9.7,5.88,5.65,1.0,1.0,4,682,44.0,,50.7
2,2008,27,TAM,,12.0,2,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,682,,,0.5
3,2009,28,JAX,,12.0,3,0,,1,3,33.3,2,0,0.0,0,0.0,2,0.7,0.7,2.0,0.7,42.4,2,7,40.0,-1.0,-1.0,,,0,682,,,3.7
4,2010,29,JAX,,12.0,1,0,,11,19,57.9,120,0,0.0,0,0.0,25,6.3,6.3,10.9,120.0,76.6,0,0,0.0,6.32,6.32,,,0,682,6.0,,27.0
5,2011,30,JAX,,12.0,4,2,1-1-0,30,56,53.6,296,0,0.0,4,7.1,26,5.3,2.1,9.9,74.0,39.0,4,38,6.7,4.3,1.3,,,1,682,13.0,,22.9
6,2012,31,ATL,,12.0,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,682,,,
7,2013,32,NOR,,7.0,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.0,0.0,0.0,,,0,682,,,
8,2014,33,NOR,,7.0,16,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,682,,,
9,2015,34,NOR,,7.0,8,1,0-1-0,32,39,82.1,335,0,0.0,1,2.6,25,8.6,7.4,10.5,41.9,91.8,1,0,2.5,8.38,7.25,,,1,682,19.0,,92.4
10,Career,Career,,,,62,10,2-8-0,216,356,60.7,2370,9,2.5,15,4.2,60,6.7,5.3,11.0,38.2,71.3,34,271,8.7,5.38,4.11,1.0,1.0,8,682,101.0,,
11,3 yrs,3 yrs,JAX,,,8,2,1-1-0,42,78,53.8,418,0,0.0,4,5.1,26,5.4,3.1,10.0,52.3,47.9,6,45,7.1,4.44,2.3,,,1,682,19.0,,
12,3 yrs,3 yrs,NOR,,,40,1,0-1-0,32,40,80.0,335,0,0.0,1,2.5,25,8.4,7.3,10.5,8.4,91.1,1,0,2.4,8.17,7.07,,,1,682,19.0,,
13,2 yrs,2 yrs,TAM,,,7,3,1-2-0,94,140,67.1,1009,5,3.6,3,2.1,60,7.2,7.0,10.7,144.1,91.0,15,104,9.7,5.84,5.61,1.0,1.0,4,682,44.0,,
14,1 yr,1 yr,ATL,,,2,0,,0,0,,0,0,,0,,0,,,,0.0,,0,0,,,,,,0,682,0.0,,
15,1 yr,1 yr,CLE,,,5,4,0-4-0,48,98,49.0,608,4,4.1,7,7.1,58,6.2,3.8,12.7,121.6,52.6,12,122,10.9,4.42,2.28,,,2,682,19.0,,
0,2000,23,SFO,,13.0,1,0,,1,1,100.0,-4,0,0.0,0,0.0,-4,-4.0,-4.0,-4.0,-4.0,79.2,0,0,0.0,-4.0,-4.0,,,0,683,,,
1,2001,24,SFO,,13.0,3,0,,2,2,100.0,21,0,0.0,0,0.0,20,10.5,10.5,10.5,7.0,110.4,0,0,0.0,10.5,10.5,,,0,683,1.0,,
2,2002,25,SFO,,13.0,4,0,,26,43,60.5,232,2,4.7,0,0.0,27,5.4,6.3,8.9,58.0,90.5,5,26,10.4,4.29,5.13,,,1,683,11.0,,
3,2003,26,SFO,,13.0,11,3,2-1-0,73,118,61.9,856,7,5.9,2,1.7,61,7.3,7.7,11.7,77.8,96.6,7,54,5.6,6.42,6.82,,,3,683,41.0,,
4,2004,27,SFO,QB,13.0,9,9,1-8-0,198,325,60.9,2169,10,3.1,10,3.1,65,6.7,5.9,11.0,241.0,78.1,37,211,10.2,5.41,4.72,1.0,1.0,5,683,109.0,,
5,2005,28,SFO,,13.0,4,4,1-3-0,56,97,57.7,667,5,5.2,6,6.2,89,6.9,5.1,11.9,166.8,70.3,10,63,9.3,5.64,4.06,,,2,683,32.0,,
6,2006,29,TAM,,13.0,4,2,1-1-0,61,101,60.4,748,4,4.0,2,2.0,64,7.4,7.3,12.3,187.0,88.2,4,18,3.8,6.95,6.86,,,2,683,25.0,,65.2
7,2007,30,ARI,,12.0,4,0,,15,27,55.6,164,3,11.1,3,11.1,42,6.1,3.3,10.9,41.0,71.1,0,0,0.0,6.07,3.3,,,0,683,9.0,,65.8
8,Career,Career,,,,40,18,5-13-0,432,714,60.5,4853,31,4.3,23,3.2,89,6.8,6.2,11.2,121.3,81.9,63,372,8.1,5.77,5.23,1.0,1.0,13,683,228.0,,
9,6 yrs,6 yrs,SFO,,,32,16,4-12-0,356,586,60.8,3941,24,4.1,18,3.1,89,6.7,6.2,11.1,123.2,81.6,59,354,9.1,5.56,5.05,1.0,1.0,11,683,194.0,,
10,1 yr,1 yr,ARI,,,4,0,,15,27,55.6,164,3,11.1,3,11.1,42,6.1,3.3,10.9,41.0,71.1,0,0,0.0,6.07,3.3,,,0,683,9.0,,
11,1 yr,1 yr,TAM,,,4,2,1-1-0,61,101,60.4,748,4,4.0,2,2.0,64,7.4,7.3,12.3,187.0,88.2,4,18,3.8,6.95,6.86,,,2,683,25.0,,
0,1998,25,CIN,,15.0,2,0.0,,10,21,47.6,164,1,4.8,2,9.5,37,7.8,4.5,16.4,82.0,50.6,0,0,0,7.81,4.48,,,0,684,7,,
1,Career,Career,,,,2,,,10,21,47.6,164,1,4.8,2,9.5,37,7.8,4.5,16.4,82.0,50.6,0,0,0,7.81,4.48,,,0,684,7,,
0,2003,23,JAX,QB,7.0,15,13,5-8-0,239,418,57.2,2819,14,3.3,16,3.8,84,6.7,5.7,11.8,187.9,73.0,19,90,4.3,6.24,5.24,1.0,2.0,9,685,134,,
1,2004,24,JAX,QB,7.0,14,14,8-6-0,267,441,60.5,2941,15,3.4,10,2.3,65,6.7,6.3,11.0,210.1,82.2,25,114,5.4,6.07,5.74,4.0,4.0,9,685,141,,
2,2005,25,JAX,QB,7.0,11,11,8-3-0,175,302,57.9,2123,15,5.0,5,1.7,45,7.0,7.3,12.1,193.0,89.3,23,110,7.1,6.19,6.42,2.0,3.0,9,685,101,,
3,2006,26,JAX,qb,7.0,6,6,3-3-0,108,183,59.0,1159,7,3.8,5,2.7,51,6.3,5.9,10.7,193.2,79.0,9,48,4.7,5.79,5.34,0.0,1.0,5,685,59,,44.7
4,2007,27,ATL,,4.0,3,2,0-2-0,32,58,55.2,279,1,1.7,2,3.4,23,4.8,3.6,8.7,93.0,59.5,6,37,9.4,3.78,2.69,,,1,685,13,,6.6
5,2008,28,PIT,,4.0,5,0,,21,36,58.3,303,2,5.6,0,0.0,50,8.4,9.5,14.4,60.6,104.3,3,22,7.7,7.21,8.23,,,1,685,17,,97.3
6,2009,29,TAM,,7.0,3,3,0-3-0,58,107,54.2,594,4,3.7,3,2.8,47,5.6,5.0,10.2,198.0,71.2,2,0,1.8,5.45,4.94,,,1,685,27,,61.0
7,2010,30,PIT,,4.0,1,0,,5,7,71.4,42,0,0.0,0,0.0,14,6.0,6.0,8.4,42.0,86.6,2,7,22.2,3.89,3.89,,,0,685,4,,54.4
